date,Messages,Instagram,Phone,Snapchat,FB Messenger,Groupme,Yelp,Venmo,Mail,Notes,Slack,Docs,Drive,Top Hat,App Store,Settings,Weather,Reminders,Safari,Spotify,Photos,HUJI,Lyft,Google Maps,Uber
24-Mar,20,12,0,4,4,4,0,0,11,2,0,0,0,0,0,0,0,0,8,10,0,0,0,6,0
25-Mar,22,10,3,0,0,0,0,0,13,7,0,0,0,0,0,0,0,0,1,6,1,0,0,8,0
26-Mar,14,7,4,2,0,0,2,0,5,0,0,0,0,0,0,0,0,0,5,8,2,0,0,0,0
27-Mar,15,5,0,5,10,2,0,0,6,0,0,0,0,0,2,0,0,0,10,9,0,0,1,0,0
28-Mar,10,9,0,1,0,0,0,0,9,8,0,0,0,1,0,3,0,0,0,5,0,0,0,0,1
29-Mar,14,8,6,10,5,0,0,0,4,0,4,1,0,0,0,0,0,1,0,10,0,0,0,2,0
30-Mar,13,10,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0
31-Mar,12,11,0,6,0,5,0,1,2,3,0,0,1,0,0,0,0,0,5,20,3,0,5,0,0
1-Apr,14,8,10,3,0,0,0,0,8,6,3,2,0,2,0,1,1,0,9,5,0,0,0,10,2
2-Apr,15,3,0,11,15,0,2,0,9,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
3-Apr,10,5,0,5,6,0,0,0,10,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0
4-Apr,8,14,0,3,0,3,0,0,11,0,2,0,0,0,1,0,0,0,10,10,0,0,7,0,0
5-Apr,12,18,5,6,5,0,1,0,5,0,0,0,0,0,0,0,1,0,6,12,0,0,0,1,0
6-Apr,13,12,6,3,4,0,0,0,6,0,1,1,0,1,0,0,0,0,4,16,2,0,0,0,1
7-Apr,15,15,0,4,0,1,0,0,4,5,0,0,2,0,0,0,1,0,2,13,0,0,0,0,0
8-Apr,16,2,0,0,10,0,2,0,8,6,0,0,0,0,0,0,1,0,1,19,0,0,2,0,0
